method,method_label,cases,hit@1,hit@5,mrr@5,forbidden_absent@5,category_primary_pass,source
bm25,BM25,200,0.775,0.935,0.8466666666666669,0.76,0.575,standard_baseline_run
dense_only,Dense-only,200,0.385,0.61,0.47100000000000003,0.795,0.3,standard_baseline_run
date_filter_rag,Date-filter RAG,200,0.775,0.935,0.8475000000000001,0.765,0.6,standard_baseline_run
metadata_temporal_rag,Metadata Temporal RAG,200,0.69,0.86,0.7678333333333334,0.695,0.48125,saved_layer2a_aggregate_artifact
chronorag_full,ChronoRAG Full,200,0.825,0.895,0.8554166666666668,0.995,0.9625,saved_layer2a_aggregate_artifact
