method,cases,hit_at_1,hit_at_5,mrr_at_5,forbidden_absent_at_5,category_primary_pass,hit_at_1_count,hit_at_1_denominator,hit_at_1_ci95_low,hit_at_1_ci95_high,hit_at_5_count,hit_at_5_denominator,hit_at_5_ci95_low,hit_at_5_ci95_high,forbidden_absent_at_5_count,forbidden_absent_at_5_denominator,forbidden_absent_at_5_ci95_low,forbidden_absent_at_5_ci95_high,category_primary_pass_count,category_primary_pass_denominator,category_primary_pass_ci95_low,category_primary_pass_ci95_high
BM25,200,0.775,0.935,0.8466666666666669,0.76,0.575,155,200,0.7122587676433947,0.8273763028491088,187,200,0.8919809207009312,0.961623645350847,152,200,0.6962665902079583,0.8139338400758631,115,200,0.5057093264785485,0.6414638745648614
Dense-only,200,0.385,0.61,0.47100000000000003,0.795,0.3,77,200,0.32033309726923215,0.45400132779753916,122,200,0.5409374595716976,0.6749165686253038,159,200,0.7337430194757748,0.8451382379616379,60,200,0.24074744682371402,0.36679068372719265
Date-filter RAG,200,0.775,0.935,0.8475000000000001,0.765,0.6,155,200,0.7122587676433947,0.8273763028491088,187,200,0.8919809207009312,0.961623645350847,153,200,0.7015863111723746,0.8184256658476741,120,200,0.53083672039262,0.6653942143319266
Metadata Temporal RAG,200,0.69,0.86,0.7678333333333334,0.695,0.48125,138,200,0.6228282243374195,0.750010551639219,172,200,0.8051011913429243,0.9013301736654437,139,200,0.6280144790202163,0.7546358436926496,96,200,0.411791663783233,0.5489621492718576
ChronoRAG Full,200,0.825,0.895,0.8554166666666668,0.995,0.9625,165,200,0.7663556885175099,0.8713948493372666,179,200,0.8448196800887696,0.9302925120731899,199,200,0.9722262956021069,0.9991168312843989,192,200,0.923067931799067,0.9795943679338476
