method,cases,retrieval_hit5_or_evidence_available,strict_combined_pass,deterministic_hard_contract_pass,llm_judge_overall_pass,llm_judge_semantic_pass,expected_evidence_cited,valid_time_used_correct,notes,answer_correctness,evidence_available_after_injection_count,expected_evidence_available_to_model,judge_errors,pre_injection_all_expected_evidence_count,pre_injection_any_expected_evidence_count,provider_errors,retrieval_hit5_or_evidence_available_note,retrieval_hit_at_1,retrieval_hit_at_5,retrieval_mrr_at_5
BM25 + LLM,50,0.64,0.4,0.42,0.68,0.78,0.56,0.46,Standard retrieval top-k=5; LLM prompt handles temporal filtering.,0.78,,0.56,7,,,0,Retrieval Hit@5,0.36,0.64,0.46066666666666656
Dense-only + LLM,50,0.52,0.32,0.34,0.68,0.82,0.44,0.44,Standard retrieval top-k=5; LLM prompt handles temporal filtering.,0.82,,0.44,3,,,0,Retrieval Hit@5,0.4,0.52,0.44233333333333325
Date-filter RAG + LLM,50,0.66,0.4,0.44,0.76,0.9,0.58,0.46,Standard retrieval top-k=5; LLM prompt handles temporal filtering.,0.9,,0.58,0,,,0,Retrieval Hit@5,0.4,0.66,0.5006666666666667
ChronoRAG Full - pre-injection retrieval,50,0.74,,,,,,,Fair retrieval availability comparison; no complete-evidence injection.,,,,,32,37,,Any expected evidence retrieved before complete-evidence injection,,,
ChronoRAG Full - post-injection answer setting,50,1.0,0.7,0.76,0.76,0.96,0.98,0.84,Prior L2B complete-evidence answer setting; not rerun.,,50,,,32,37,,Expected evidence available to generator after complete-evidence injection,,,
