method,cases,retrieval_hit5_or_evidence_available,strict_combined_pass,deterministic_hard_contract_pass,llm_judge_overall_pass,llm_judge_semantic_pass,expected_evidence_cited,valid_time_used_correct,notes,retrieval_hit5_or_evidence_available_count,retrieval_hit5_or_evidence_available_denominator,retrieval_hit5_or_evidence_available_ci95_low,retrieval_hit5_or_evidence_available_ci95_high,strict_combined_pass_count,strict_combined_pass_denominator,strict_combined_pass_ci95_low,strict_combined_pass_ci95_high,deterministic_hard_contract_pass_count,deterministic_hard_contract_pass_denominator,deterministic_hard_contract_pass_ci95_low,deterministic_hard_contract_pass_ci95_high,llm_judge_overall_pass_count,llm_judge_overall_pass_denominator,llm_judge_overall_pass_ci95_low,llm_judge_overall_pass_ci95_high,llm_judge_semantic_pass_count,llm_judge_semantic_pass_denominator,llm_judge_semantic_pass_ci95_low,llm_judge_semantic_pass_ci95_high,expected_evidence_cited_count,expected_evidence_cited_denominator,expected_evidence_cited_ci95_low,expected_evidence_cited_ci95_high,valid_time_used_correct_count,valid_time_used_correct_denominator,valid_time_used_correct_ci95_low,valid_time_used_correct_ci95_high,answer_correctness,evidence_available_after_injection_count,expected_evidence_available_to_model,judge_errors,pre_injection_all_expected_evidence_count,pre_injection_any_expected_evidence_count,provider_errors,retrieval_hit5_or_evidence_available_note,retrieval_hit_at_1,retrieval_hit_at_5,retrieval_mrr_at_5
BM25 + LLM,50,0.64,0.4,0.42,0.68,0.78,0.56,0.46,Standard retrieval top-k=5; LLM prompt handles temporal filtering.,32,50,0.501410168761127,0.7586125034815325,20,50,0.27608389730256544,0.5381856225241064,21,50,0.2937500335471198,0.5576655823142176,34,50,0.5418970269185592,0.7924178373934316,39,50,0.6475845041874634,0.8724608402978559,28,50,0.4230602802165686,0.6883780078874284,23,50,0.3296965219222435,0.5960112860084253,0.78,,0.56,7,,,0,Retrieval Hit@5,0.36,0.64,0.46066666666666656
Dense-only + LLM,50,0.52,0.32,0.34,0.68,0.82,0.44,0.44,Standard retrieval top-k=5; LLM prompt handles temporal filtering.,26,50,0.38511744890044614,0.6520286471342196,16,50,0.20758216260656848,0.45810297308144077,17,50,0.2243694922250009,0.478461739497674,34,50,0.5418970269185592,0.7924178373934316,41,50,0.6920394632569922,0.9022980732976582,22,50,0.3116219921125717,0.5769397197834315,22,50,0.3116219921125717,0.5769397197834315,0.82,,0.44,3,,,0,Retrieval Hit@5,0.4,0.52,0.44233333333333325
Date-filter RAG + LLM,50,0.66,0.4,0.44,0.76,0.9,0.58,0.46,Standard retrieval top-k=5; LLM prompt handles temporal filtering.,33,50,0.521538260502326,0.7756305077749992,20,50,0.27608389730256544,0.5381856225241064,22,50,0.3116219921125717,0.5769397197834315,38,50,0.6258731624205708,0.8570260860300828,45,50,0.7863976856252035,0.9565242350681096,29,50,0.4423344176857823,0.7062499664528802,23,50,0.3296965219222435,0.5960112860084253,0.9,,0.58,0,,,0,Retrieval Hit@5,0.4,0.66,0.5006666666666667
ChronoRAG Full - pre-injection retrieval,50,0.74,,,,,,,Fair retrieval availability comparison; no complete-evidence injection.,37,50,0.6044684273515117,0.8412847250644762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,37,,Any expected evidence retrieved before complete-evidence injection,,,
ChronoRAG Full - post-injection answer setting,50,1.0,0.7,0.76,0.76,0.96,0.98,0.84,Prior L2B complete-evidence answer setting; not rerun.,50,50,0.9286524008666414,1.0,35,50,0.562496495355466,0.8089644649911906,38,50,0.6258731624205708,0.8570260860300828,38,50,0.6258731624205708,0.8570260860300828,48,50,0.8653990931249297,0.9889611156723802,49,50,0.8950455641036219,0.9964607407283539,42,50,0.7148578393696501,0.916625793219666,,50,,,32,37,,Expected evidence available to generator after complete-evidence injection,,,
